Time stamp (UTC);Distance (m);Time;Energy (kCal);Stroke count (#);Average power (W);Maximum power (W);Watt per beat;Watt per KG;Average heart rate (bpm);Average split (s);Minimum split (s);Average work (J);Average stroke length (m);Average stroke time (s);Average stroke rate (SPM);Maximum stroke rate (SPM);Rower age;Rower weight (kg)
2025-08-16 17:39:55.146;500;184;12;52;55,3;76; ;0,78; ;185;166;196;127; ;17,1;18,1;57;71
2025-08-18 09:31:16.274;500;165;15;48;77,5;102; ;1,09; ;165;150;263;130; ;17,8;20,1;57;71
2025-08-17 14:21:05.879;500;176;13;49;63,7;85; ;0,90; ;177;160;228;129; ;17,0;19,0;57;71
2025-08-18 18:26:16.839;500;186;12;50;54,5;80; ;0,77; ;186;163;200;126; ;16,5;18,1;57;71
2025-08-19 14:24:17.350;500;167;15;52;74,1;110; ;1,04; ;167;147;240;128; ;18,8;19,9;57;71
2025-08-19 18:11:06.318;500;169;14;51;71,3;94; ;1,00; ;170;154;236;127; ;18,4;20,6;57;71
2025-08-15 12:44:45.060;500;187;12;49;53,7;70; ;0,76; ;187;170;206;125; ;15,7;16,5;57;71
2025-08-16 11:38:11.688;500;175;14;50;64,5;85; ;0,91; ;176;160;226;127; ;17,2;18,5;57;71
2025-08-20 13:12:20.888;500;160;16;55;84,7;112; ;1,19; ;160;146;245;124; ;21,0;23,8;57;71
2025-08-20 18:09:53.318;1000;352;27;109;64,1;94; ;0,90; ;177;154;207;122; ;18,6;21,6;57;71
2025-08-22 11:51:18.573;1000;321;32;109;84,2;115; ;1,19; ;160;144;248;121; ;20,5;22,8;57;71
2025-08-21 17:53:35.422;1000;342;28;111;69,6;97; ;0,98; ;171;153;215;121; ;19,6;23,8;57;71
2025-08-21 08:49:18.491;1000;344;28;111;68,5;92; ;0,96; ;172;156;212;123; ;19,5;23,2;57;71
2025-08-25 17:53:47.337;1000;334;30;105;75,2;101; ;1,06; ;167;151;240;124; ;18,9;21,2;57;71
2025-08-26 12:14:16.589;1000;321;32;107;84,5;106; ;1,19; ;160;148;253;122; ;20,2;22,7;57;71
2025-08-27 12:05:27.489;1000;346;28;112;67,7;119; ;0,95; ;173;143;210;122; ;19,5;23,3;57;71
2025-08-27 17:36:34.419;1000;343;30;107;75,5;109; ;1,06; ;167;147;236;124; ;19,7;22,0;57;71
2025-08-24 17:01:50.691;1000;364;25;117;57,9;96; ;0,82; ;183;153;179;114; ;19,5;23,6;57;71
2025-08-28 12:11:20.127;1000;337;29;109;73,0;113; ;1,03; ;169;145;226;129; ;19,4;22,4;57;71
2025-09-01 09:13:21.322;1000;346;28;112;68,5;102; ;0,96; ;172;150;211;119; ;19,7;21,5;57;71
2025-08-28 17:54:09.601;1000;330;30;115;77,3;120; ;1,09; ;165;142;221;122; ;21,0;23,4;57;71
2025-08-25 12:57:58.654;1000;333;30;105;75,4;113; ;1,06; ;167;145;239;124; ;19,1;21,5;57;71
2025-09-03 15:58:55.952;1000;336;29;114;73,4;127; ;1,03; ;168;140;217;120; ;20,4;23,3;57;71
2025-09-02 12:35:30.066;1000;340;28;113;70,1;113; ;0,99; ;171;145;212;120; ;20,0;22,8;57;71
2025-08-29 13:05:01.403;1000;323;32;115;82,8;106; ;1,17; ;162;148;232;120; ;21,5;24,6;57;71
2025-09-05 12:11:46.467;1000;327;31;110;79,4;103; ;1,12; ;164;150;237;123; ;20,3;22,6;57;71
2025-09-04 12:39:17.356;1000;337;29;111;72,3;125; ;1,02; ;169;140;220;123; ;19,8;22,2;57;71
2025-09-04 17:12:01.228;1000;331;30;107;76,9;111; ;1,08; ;166;146;238;125; ;19,5;22,5;57;71
2025-09-09 17:52:29.826;1000;324;32;106;82,2;110; ;1,16; ;162;147;252;121; ;19,7;21,8;57;71
2025-09-11 18:21:38.654;1000;365;31;99;79,5;127; ;1,12; ;164;140;265;121; ;18,8;21,9;57;71
2025-09-12 14:33:39.248;1000;315;34;111;89,4;140; ;1,26; ;157;135;255;119; ;21,3;24,8;57;71
2025-09-14 13:27:14.851;1000;336;30;113;74,2;106; ;1,05; ;168;148;220;118; ;20,6;24,0;57;71
2025-09-13 12:58:09.381;1000;333;30;110;75,7;123; ;1,07; ;167;141;231;120; ;19,9;23,3;57;71
2025-09-15 12:17:27.531;1000;332;30;111;76,1;108; ;1,07; ;166;147;228;119; ;20,3;23,3;57;71
2025-09-16 12:28:30.467;1000;330;31;113;77,4;113; ;1,09; ;165;145;227;116; ;20,5;22,4;57;71
2025-09-08 17:47:49.367;1000;343;28;114;69,3;108; ;0,98; ;171;147;210;121; ;20,0;22,2;57;71
2025-09-18 19:00:13.348;1000;316;34;107;91,1;117; ;1,28; ;156;144;268;120; ;20,9;23,9;57;71
2025-09-17 08:23:21.751;1000;316;33;110;88,2;136; ;1,24; ;159;137;254;121; ;20,9;23,7;57;71
2025-09-17 17:03:18.753;1000;316;33;108;88,3;120; ;1,24; ;158;142;259;120; ;20,8;24,0;57;71
2025-09-22 16:34:46.447;1000;312;34;107;91,9;124; ;1,29; ;156;141;268;121; ;20,8;24,1;57;71
2025-09-20 14:07:03.094;1000;310;34;109;93,0;141; ;1,31; ;156;135;265;120; ;21,1;24,3;57;71
2025-09-11 15:00:26.106;1000;336;30;111;73,7;117; ;1,04; ;168;144;225;122; ;19,9;22,8;57;71
2025-09-23 15:46:44.173;1000;310;35;111;93,2;153; ;1,31; ;156;131;261;118; ;21,5;23,5;57;71
2025-09-25 16:00:07.288;1000;308;35;110;94,7;128; ;1,33; ;154;139;266;118; ;21,5;25,4;57;71
2025-09-24 15:09:02.208;1000;309;35;109;94,7;153; ;1,33; ;154;131;271;118; ;21,2;25,4;57;71
2025-09-29 15:52:26.806;1000;303;36;110;100,0;143; ;1,41; ;152;134;276;121; ;21,9;25,4;57;71
