Stroke (#);Second (#);Timestamp (UTC);Distance (m);Work (J);Actual power (W);Average power (W);Actual split (s);Average split (s);Stroke rate (SPM);Heart rate (bpm)
1;3;2025-11-11T19:24:59Z;6;122,7; ; ; ; ;18,8; 
2;5;2025-11-11T19:25:01Z;13;204,6;39;58,4;207;207;23,8; 
3;9;2025-11-11T19:25:05Z;23;187,4;81;57,8;162;182;18,3; 
4;11;2025-11-11T19:25:07Z;27;12,9;81;47,9;162;183;29,4; 
5;13;2025-11-11T19:25:09Z;34;221,9;6;55,1;387;195;23,1; 
6;16;2025-11-11T19:25:12Z;43;195,1;86;59,0;159;185;24,8; 
7;18;2025-11-11T19:25:14Z;50;211,2;81;62,8;162;181;24,5; 
8;21;2025-11-11T19:25:17Z;58;176,8;87;63,7;159;178;24,0; 
9;23;2025-11-11T19:25:19Z;64;168,1;71;63,8;170;177;23,7; 
10;26;2025-11-11T19:25:22Z;73;176,6;66;64,2;174;177;23,6; 
11;28;2025-11-11T19:25:24Z;79;202,7;70;65,9;170;176;24,6; 
12;31;2025-11-11T19:25:27Z;88;227,7;83;67,9;161;175;24,0; 
13;33;2025-11-11T19:25:29Z;95;230,8;91;69,8;156;173;24,0; 
14;35;2025-11-11T19:25:31Z;102;194,0;93;69,8;155;171;24,5; 
15;38;2025-11-11T19:25:34Z;110;186,5;79;70,5;164;170;24,4; 
16;40;2025-11-11T19:25:36Z;117;210,6;76;70,8;166;170;24,1; 
17;43;2025-11-11T19:25:39Z;126;209,4;85;71,8;160;170;24,5; 
18;45;2025-11-11T19:25:41Z;133;199,7;86;72,4;159;169;24,2; 
19;48;2025-11-11T19:25:44Z;141;215,9;81;73,7;162;168;24,1; 
20;50;2025-11-11T19:25:46Z;148;209,2;87;74,2;159;168;24,0; 
21;53;2025-11-11T19:25:49Z;157;217,6;84;74,8;160;167;23,8; 
22;55;2025-11-11T19:25:51Z;164;233,7;86;75,6;159;167;23,9; 
23;58;2025-11-11T19:25:54Z;173;212,8;93;75,6;155;167;23,7; 
24;60;2025-11-11T19:25:56Z;180;198,0;84;75,9;160;167;23,0; 
25;63;2025-11-11T19:25:59Z;189;224,5;76;76,5;166;167;23,4; 
26;66;2025-11-11T19:26:02Z;197;159,1;88;75,9;158;166;23,7; 
27;68;2025-11-11T19:26:04Z;203;194,4;63;75,9;177;167;23,4; 
28;71;2025-11-11T19:26:07Z;212;224,7;76;76,3;166;167;23,2; 
29;73;2025-11-11T19:26:09Z;219;184,5;87;76,2;159;166;24,0; 
30;76;2025-11-11T19:26:12Z;227;196,5;74;76,3;167;166;23,9; 
31;78;2025-11-11T19:26:14Z;234;207,1;78;76,5;164;166;24,1; 
32;81;2025-11-11T19:26:17Z;243;214,7;84;76,7;160;166;23,3; 
33;83;2025-11-11T19:26:19Z;250;201,3;84;76,8;160;166;23,2; 
34;86;2025-11-11T19:26:22Z;258;206,8;78;76,8;164;166;23,3; 
35;89;2025-11-11T19:26:25Z;267;200,8;80;76,8;163;166;22,6; 
36;91;2025-11-11T19:26:27Z;273;180,0;76;76,5;166;166;22,1; 
37;94;2025-11-11T19:26:30Z;282;218,5;66;76,5;174;166;22,9; 
38;96;2025-11-11T19:26:32Z;289;194,2;84;76,7;160;166;22,8; 
39;99;2025-11-11T19:26:35Z;297;202,3;74;76,7;167;166;22,8; 
40;102;2025-11-11T19:26:38Z;306;202,3;77;76,6;165;166;22,7; 
41;104;2025-11-11T19:26:40Z;313;210,1;77;76,6;165;166;22,7; 
42;107;2025-11-11T19:26:43Z;322;200,7;80;76,7;163;166;22,6; 
43;110;2025-11-11T19:26:46Z;330;193,0;76;76,6;166;166;22,3; 
44;112;2025-11-11T19:26:48Z;336;156,5;72;76,6;169;166;22,9; 
45;115;2025-11-11T19:26:51Z;344;171,4;60;76,2;179;166;22,8; 
46;118;2025-11-11T19:26:54Z;353;182,9;65;75,8;175;167;23,5; 
47;120;2025-11-11T19:26:56Z;360;201,4;72;75,9;169;167;22,4; 
48;123;2025-11-11T19:26:59Z;368;192,8;75;75,8;167;167;23,4; 
49;125;2025-11-11T19:27:01Z;374;180,2;75;75,7;167;167;23,8; 
50;128;2025-11-11T19:27:04Z;383;194,0;72;75,7;169;167;23,3; 
51;130;2025-11-11T19:27:06Z;389;182,1;75;75,7;167;167;23,1; 
52;133;2025-11-11T19:27:09Z;398;191,4;70;75,6;170;167;23,1; 
53;136;2025-11-11T19:27:12Z;406;171,9;74;75,4;167;167;23,7; 
54;138;2025-11-11T19:27:14Z;413;178,8;68;75,4;172;167;23,9; 
55;141;2025-11-11T19:27:17Z;421;211,9;71;75,5;170;167;23,8; 
56;143;2025-11-11T19:27:19Z;428;209,5;84;75,6;160;167;23,0; 
57;146;2025-11-11T19:27:22Z;437;208,8;81;75,6;162;167;22,4; 
58;149;2025-11-11T19:27:25Z;446;249,4;78;76,0;164;167;22,7; 
59;151;2025-11-11T19:27:27Z;454;259,7;94;76,4;154;166;22,4; 
60;154;2025-11-11T19:27:30Z;463;263,5;97;76,8;153;166;22,9; 
61;156;2025-11-11T19:27:32Z;470;206,4;101;76,8;151;166;22,8; 
62;159;2025-11-11T19:27:35Z;478;181,0;78;76,7;164;166;22,7; 
63;162;2025-11-11T19:27:38Z;487;215,5;69;76,7;171;166;22,4; 
64;164;2025-11-11T19:27:40Z;494;221,3;81;76,7;162;166;22,5; 
65;167;2025-11-11T19:27:43Z;503;198,1;83;76,8;161;166;22,6; 
66;170;2025-11-11T19:27:46Z;512;234,4;75;77,0;167;166;22,3; 
67;172;2025-11-11T19:27:48Z;518;187,9;87;77,0;159;165;22,9; 
68;175;2025-11-11T19:27:51Z;527;206,4;72;76,9;169;166;22,9; 
69;178;2025-11-11T19:27:54Z;536;203,3;79;76,9;164;166;22,9; 
70;180;2025-11-11T19:27:56Z;542;189,2;78;76,9;164;166;24,0; 
71;183;2025-11-11T19:27:59Z;551;221,8;76;77,0;166;166;23,1; 
72;185;2025-11-11T19:28:01Z;558;203,4;86;77,1;159;165;23,6; 
73;188;2025-11-11T19:28:04Z;567;213,6;80;77,2;163;165;23,1; 
74;190;2025-11-11T19:28:06Z;574;273,2;82;77,6;162;165;23,9; 
75;193;2025-11-11T19:28:09Z;583;214,0;109;77,7;147;165;24,3; 
